Sample,FprSort,FprLabel,FPR,TPR
Train,48,48%,0.48,0.9236837162712077
Train,49,49%,0.49,0.9272522381518813
Train,50,50%,0.5,0.9313216052087898
Train,51,51%,0.51,0.9347649157954048
Train,52,52%,0.52,0.938270832029049
Train,53,53%,0.53,0.9413385087334878
Train,54,54%,0.54,0.9440931572027796
Train,55,55%,0.55,0.9470356226131597
Train,56,56%,0.56,0.9496650597883929
Train,57,57%,0.5700000000000001,0.9522318913165968
Train,58,58%,0.58,0.9547361171977712
Train,59,59%,0.59,0.9572403430789457
Train,60,60%,0.6,0.9592437237838853
Train,61,61%,0.61,0.9612471044888249
Train,62,62%,0.62,0.9632504851937644
Train,63,63%,0.63,0.9652538658987041
Train,64,64%,0.64,0.9670068240155262
Train,65,65%,0.65,0.9696362611907594
Train,66,66%,0.66,0.9717022475427284
Train,67,67%,0.67,0.9730169661303449
Train,68,68%,0.68,0.9740186564828147
Train,69,69%,0.6900000000000001,0.9757716145996369
Train,70,70%,0.7000000000000001,0.9768985162461654
Train,71,71%,0.71,0.9781506291867527
Train,72,72%,0.72,0.9789645025981344
Train,73,73%,0.73,0.9803418268327804
Train,74,74%,0.74,0.9819069680085144
Train,75,75%,0.75,0.9830338696550429
Train,76,76%,0.76,0.9844111938896889
Train,77,77%,0.77,0.9856007011832467
Train,78,78%,0.78,0.9867902084768047
Train,79,79%,0.79,0.9879171101233332
Train,80,80%,0.8,0.9886683778876855
Train,81,81%,0.81,0.9893570400050085
Train,82,82%,0.8200000000000001,0.990483941651537
Train,83,83%,0.8300000000000001,0.991360420709948
Train,84,84%,0.84,0.9919864771802417
Train,85,85%,0.85,0.9929881675327115
Train,86,86%,0.86,0.9933011957678582
Train,87,87%,0.87,0.9942402804732987
Train,88,88%,0.88,0.9950541538846804
Train,89,89%,0.89,0.9956176047079447
Train,90,90%,0.9,0.9962436611782383
Train,91,91%,0.91,0.996556689413385
Train,92,92%,0.92,0.9968697176485319
Train,93,93%,0.93,0.9974957741188255
Train,94,94%,0.9400000000000001,0.9979966192950604
Train,95,95%,0.9500000000000001,0.9985600701183247
Train,96,96%,0.96,0.9988730983534715
Train,97,97%,0.97,0.9991861265886183
Train,98,98%,0.98,0.9994991548237651
Train,99,99%,0.99,0.999812183058912
Train,100,100%,1.0,1.0
Test,0,0%,0.0,0.004007012271475081
Test,1,1%,0.01,0.1890808915602304
