CutoffPD,CutoffScore,ApprovalRate,BadRateApproved,RejectRate,ApprovedN,MarginalPD,IsOperatingCutoff,IsYoudenCutoff,BudgetedBadRate
0.25,712,0.958037960210382,0.0668678498968509,0.0419620397896181,58653,0.25,0,0,0.04
0.255,710,0.9596060239783084,0.067235186981906,0.0403939760216915,58749,0.255,0,0,0.04
0.26,707,0.9608310737970012,0.0674724602203182,0.0391689262029989,58824,0.26,0,0,0.04
0.265,704,0.962007121622946,0.0677635153490899,0.037992878377054,58896,0.265,0,0,0.04
0.27,702,0.962954493482735,0.0679003969196322,0.037045506517265,58954,0.27,0,0,0.04
0.275,699,0.9641142073110972,0.0681406183820415,0.0358857926889026,59025,0.275,0,0,0.04
0.28,696,0.965224919146712,0.0683329666796405,0.034775080853288,59093,0.28,0,0,0.04
0.285,693,0.966319296984744,0.0684922244759973,0.0336807030152559,59160,0.285,0,0,0.04
0.29,690,0.9671033288687072,0.0686562626672071,0.0328966711312926,59208,0.29,0,0,0.04
0.295,688,0.9680507007284964,0.0688590422839402,0.0319492992715036,59266,0.295,0,0,0.04
0.3,685,0.9688837346052072,0.0690358581856803,0.0311162653947927,59317,0.3,0,0,0.04
0.305,682,0.9698637744601614,0.0693029287434528,0.0301362255398386,59377,0.305,0,0,0.04
0.31,680,0.9705824703537944,0.0694872183234883,0.0294175296462055,59421,0.31,0,0,0.04
0.315,677,0.97131750024501,0.0696364309016917,0.02868249975499,59466,0.315,0,0,0.04
0.32,674,0.9720035281434778,0.0697721314781205,0.0279964718565222,59508,0.32,0,0,0.04
0.325,671,0.9726242200516154,0.0699627178987673,0.0273757799483845,59546,0.325,0,0,0.04
0.33,668,0.9732285779621704,0.0701542386251111,0.0267714220378295,59583,0.33,0,0,0.04
0.335,666,0.9738329358727256,0.0703455216370345,0.0261670641272745,59620,0.335,0,0,0.04
0.34,663,0.9745842997615236,0.0705762075553916,0.0254157002384763,59666,0.34,0,0,0.04
0.345,660,0.9753356636503218,0.0707897909967845,0.0246643363496782,59712,0.345,0,0,0.04
0.35,658,0.9757930155826336,0.0709072648141948,0.0242069844173663,59740,0.35,0,0,0.04
0.355,655,0.9763973734931888,0.0710975793365341,0.0236026265068113,59777,0.355,0,0,0.04
0.36,652,0.977067067394074,0.0712494566852786,0.0229329326059259,59818,0.36,0,0,0.04
0.365,649,0.9776060893142988,0.0714440861472657,0.0223939106857011,59851,0.365,0,0,0.04
0.37,646,0.9781941132272712,0.0715848180740394,0.0218058867727287,59887,0.37,0,0,0.04
0.375,644,0.9787984711378264,0.0717241839663573,0.0212015288621737,59924,0.375,0,0,0.04
0.38,641,0.979566169024207,0.0720014673758983,0.0204338309757929,59971,0.38,0,0,0.04
0.385,638,0.9800398549541016,0.0721666666666666,0.0199601450458984,60000,0.385,0,0,0.04
0.39,636,0.980399202900918,0.0722901602745659,0.019600797099082,60022,0.39,0,0,0.04
0.395,633,0.9810688968018032,0.0724905515874997,0.0189311031981966,60063,0.395,0,0,0.04
0.4,630,0.9816732547123584,0.0726622296173045,0.0183267452876416,60100,0.4,0,0,0.04
