Scorecard,ApprovalRate,BadRateApproved,PointSort
Existing score (EXT_MEAN),0.9429431312307982,0.06875457144756965,112
Existing score (EXT_MEAN),0.9510941124835413,0.0696815874480849,113
Existing score (EXT_MEAN),0.9592450937362844,0.07091966795215374,114
Existing score (EXT_MEAN),0.9673960749890276,0.07233132412988529,115
Existing score (EXT_MEAN),0.9755470562417706,0.0737836621890867,116
Existing score (EXT_MEAN),0.9836980374945138,0.075148193001466,117
Existing score (EXT_MEAN),0.9918490187472568,0.07756495353688603,118
Existing score (EXT_MEAN),1.0,0.07962881685372124,119
New scorecard,0.029957382802707447,0.006276150627615063,0
New scorecard,0.03810478816746052,0.008223684210526315,1
New scorecard,0.04625219353221359,0.009485094850948509,2
New scorecard,0.05439959889696666,0.009216589861751152,3
New scorecard,0.06254700426171973,0.008016032064128256,4
New scorecard,0.0706944096264728,0.0070921985815602835,5
New scorecard,0.07884181499122588,0.007154213036565978,6
New scorecard,0.08698922035597895,0.00792507204610951,7
New scorecard,0.09519929806969166,0.007899934167215274,8
New scorecard,0.10334670343444473,0.009096422073984234,9
New scorecard,0.1114941087991978,0.008993816750983699,10
New scorecard,0.11964151416395087,0.009429020429544265,11
New scorecard,0.12778891952870394,0.009318293281020108,12
New scorecard,0.135936324893457,0.010603964960811434,13
New scorecard,0.14408373025821009,0.01087429317094389,14
New scorecard,0.15223113562296314,0.01070399341292713,15
New scorecard,0.16037854098771623,0.010941774130519734,16
New scorecard,0.16852594635246929,0.011156563778356266,17
New scorecard,0.17667335171722237,0.012415750266051791,18
New scorecard,0.18482075708197543,0.013224821973550356,19
New scorecard,0.19296816244672851,0.012991230919129588,20
New scorecard,0.20111556781148157,0.013088189467123715,21
New scorecard,0.20926297317623466,0.013776579814315664,22
New scorecard,0.21747305088994737,0.0138328530259366,23
New scorecard,0.22562045625470042,0.013888888888888888,24
New scorecard,0.2337678616194535,0.014745308310991957,25
New scorecard,0.24191526698420657,0.015025906735751295,26
New scorecard,0.2500626723489596,0.016541353383458645,27
New scorecard,0.2582100777137127,0.017475728155339806,28
New scorecard,0.2663574830784658,0.01788235294117647,29
New scorecard,0.27450488844321885,0.01780821917808219,30
New scorecard,0.2826522938079719,0.017516629711751663,31
New scorecard,0.29079969917272497,0.01810344827586207,32
New scorecard,0.2989471045374781,0.01781970649895178,33
New scorecard,0.30709450990223114,0.017551020408163264,34
New scorecard,0.3152419152669842,0.017693836978131212,35
New scorecard,0.32338932063173725,0.017635658914728684,36
New scorecard,0.33153672599649037,0.01776937618147448,37
New scorecard,0.33974680371020305,0.01733997417450655,38
New scorecard,0.3478942090749561,0.017654476670870115,39
New scorecard,0.3560416144397092,0.018130610807956346,40
New scorecard,0.3641890198044623,0.018413353983823783,41
New scorecard,0.37233642516921533,0.018010435953543173,42
New scorecard,0.3804838305339684,0.01811892604183825,43
New scorecard,0.3886312358987215,0.019029188840509595,44
New scorecard,0.39677864126347456,0.019586163323329648,45
New scorecard,0.4049260466282276,0.019811174740752207,46
New scorecard,0.4130734519929807,0.020330754058564708,47
New scorecard,0.4212208573577338,0.020086296682041364,48
New scorecard,0.42936826272248685,0.0201430448109765,49
New scorecard,0.4375156680872399,0.020770663228763787,50
New scorecard,0.44566307345199296,0.020953452397693716,51
New scorecard,0.4538104788167461,0.020715370805137412,52
New scorecard,0.46202055653045876,0.021432447097124253,53
New scorecard,0.4701679618952118,0.022260730471874168,54
New scorecard,0.47831536725996493,0.022143605870020965,55
New scorecard,0.486462772624718,0.022159237309971658,56
New scorecard,0.49461017798947104,0.02242777496198682,57
New scorecard,0.5027575833542242,0.02268760907504363,58
New scorecard,0.5109049887189772,0.023061825318940136,59
New scorecard,0.5190523940837303,0.02366578121226757,60
New scorecard,0.5271997994484833,0.024251069900142655,61
New scorecard,0.5353472048132364,0.024467337859985953,62
New scorecard,0.5434946101779895,0.024792435424354244,63
New scorecard,0.5516420155427425,0.024994319472847082,64
New scorecard,0.5597894209074956,0.02541424093148231,65
New scorecard,0.5679368262722487,0.02604281615537409,66
New scorecard,0.5761469039859614,0.02621559882519308,67
New scorecard,0.5842943093507145,0.02660087954521077,68
New scorecard,0.5924417147154676,0.026975563313233895,69
New scorecard,0.6005891200802206,0.028174893039757905,70
New scorecard,0.6087365254449737,0.028930299598476268,71
New scorecard,0.6168839308097267,0.029462562226963324,72
New scorecard,0.6250313361744798,0.02998094856111501,73
New scorecard,0.6331787415392329,0.030090072255765613,74
New scorecard,0.6413261469039859,0.030782761653474055,75
New scorecard,0.649473552268739,0.030975586220206505,76
New scorecard,0.6576209576334922,0.03135423615743829,77
New scorecard,0.6657683629982452,0.031629483196837054,78
New scorecard,0.6739157683629983,0.0320840695619827,79
New scorecard,0.6820631737277513,0.03307911421483047,80
New scorecard,0.6902105790925044,0.03386906383365114,81
New scorecard,0.6984206568062171,0.03490667623833453,82
