Class,PdBinSort,PdBinLabel,PdBinMid,Density,Share
Bad (default),19,22%-24%,0.23125,1.3459364117407613,0.01682420514675953
Bad (default),20,24%-25%,0.24375000000000002,1.175885305956313,0.014698566324453892
Bad (default),21,25%-26%,0.25625,1.2084482836597157,0.01510560354574646
Bad (default),22,26%-28%,0.26875000000000004,1.1469404368866165,0.014336755461082719
Bad (default),23,28%-29%,0.28125,0.8430193116548318,0.010537741395685406
Bad (default),24,29%-30%,0.29375000000000007,1.023924743340418,0.012799059291755234
Bad (default),25,30%-31%,0.30625,0.9009090497942233,0.01126136312242775
Bad (default),26,31%-32%,0.31875,0.8104563339514261,0.010130704174392836
Bad (default),27,32%-34%,0.33125000000000004,0.8068382253177144,0.01008547781647144
Bad (default),28,34%-35%,0.34375,0.7453303785446151,0.009316629731807698
Bad (default),29,35%-36%,0.35625000000000007,0.8357830943874082,0.010447288679842612
Bad (default),30,36%-38%,0.36875,0.6223146849984192,0.0077789335624802135
Bad (default),31,38%-39%,0.38125,0.7019130749400745,0.008773913436750939
Bad (default),32,39%-40%,0.39375000000000004,0.7163855094749214,0.008954818868436526
Bad (default),33,40%-41%,0.40625,0.5825154900275875,0.007281443625344851
Bad (default),34,41%-43%,0.41875000000000007,0.5499525123241821,0.006874406404052282
Bad (default),35,43%-44%,0.43125,0.4992989914522201,0.006241237393152729
Bad (default),36,44%-45%,0.44375,0.6367871195332635,0.0079598389941658
Bad (default),37,45%-46%,0.45625000000000004,0.5318619691556234,0.0066482746144452985
Bad (default),38,46%-48%,0.46875,0.5354800777893352,0.006693500972366696
Bad (default),39,48%-49%,0.48125000000000007,0.41246438424313653,0.0051558048030392115
Bad (default),40,49%-50%,0.49375,0.5354800777893376,0.006693500972366696
